,NO_MUNICIPIO_PROVA,SG_UF_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
0,Abaetetuba,PA,460.1116720163425,479.5705719812102,459.2187897209172,479.5387510942522,588.5327438518927
1,Abaeté,MG,498.3485655737701,519.2679207920787,508.30079207920744,548.9780737704921,634.7722772277227
2,Abreu e Lima,PE,470.482794117647,495.5797316384182,484.54795197740043,499.65198529411657,575.2401129943503
3,Acarape,CE,461.05884244373016,479.3225609756095,468.5042682926829,486.66430868167186,571.4634146341464
4,Acaraú,CE,454.65898477157464,471.9242899118504,469.6623898139082,500.02923857868,557.7473065621939
5,Acari,RN,483.3876160990712,516.7077151335308,493.7744807121663,516.0226006191954,637.2106824925816
6,Acará,PA,449.27087628866036,470.2628712871286,441.6950495049502,464.38582474226865,566.039603960396
7,Acopiara,CE,454.1364569961486,478.5309002433089,468.96605839416065,499.5238767650834,527.1776155717762
8,Acrelândia,AC,450.2421686746986,481.65111111111116,468.91166666666663,491.29216867469864,548.7777777777778
9,Acreúna,GO,462.92927631578937,488.9938837920487,476.12048929663644,496.4802631578953,545.8103975535169
10,Adamantina,SP,520.0247588424439,544.935329341317,521.2955089820363,583.3504823151131,654.1916167664671
11,Afogados da Ingazeira,PE,479.65204081632675,507.7329073482427,496.2102236421725,527.3324829931977,588.626198083067
12,Afonso Cláudio,ES,490.7375321336764,521.2081280788177,498.59876847290644,537.9323907455013,630.1477832512315
13,Afrânio,PE,453.9415384615385,461.6693474962062,452.4329286798179,487.2018803418806,528.4370257966616
14,Agrestina,PE,465.55053003533584,490.72073578595297,480.33745819398,504.4452296819787,590.3010033444816
15,Agudos,SP,513.5687499999999,546.9616580310882,529.7020725388596,578.9664772727275,658.2383419689119
16,Aimorés,MG,496.84488636363625,525.0684491978612,515.5344919786093,545.6741477272724,613.2085561497327
17,Alagoa Grande,PB,468.4414893617018,493.27484787018295,472.5831643002028,505.95851063829804,599.8377281947262
18,Alagoa Nova,PB,462.2731343283583,485.8065306122447,464.9771428571428,481.92366737739866,588.9795918367347
19,Alagoinha,PB,443.3758928571429,462.7601123595504,453.5528089887642,477.985119047619,561.7977528089888
20,Alagoinhas,BA,482.50537494581636,503.0956628477916,488.56472995089985,506.22262678803685,582.2176759410802
21,Alcântara,MA,447.46428571428635,463.0774834437084,452.72251655629145,474.3335714285712,535.7615894039735
22,Alegre,ES,500.7840682788051,512.8420190995904,497.84106412005514,534.3177809388333,604.8294679399727
23,Alegrete,RS,488.22025611175815,516.8209481808158,502.76339581036444,520.7196740395807,590.8489525909592
24,Alenquer,PA,443.2274086378736,463.69792993630494,445.39570063694276,464.08006644518304,541.4649681528663
25,Alexandria,RN,473.2630738522957,493.05642023346326,475.4501945525293,510.833532934131,603.1906614785992
26,Alexânia,GO,472.55088495575217,497.11169354838717,478.0092741935487,491.5575221238936,558.1451612903226
27,Alfenas,MG,506.7460026212317,533.0906905055487,513.594204685573,557.0872214941032,647.6572133168927
28,Alhandra,PB,453.1923913043479,474.0094527363184,466.38805970149224,482.6190217391304,534.5273631840796
29,Aliança,PE,455.3340040241451,469.9467166979365,466.15478424014975,491.58008048289736,567.7298311444653
30,Almeirim,PA,452.33121019108273,466.5544378698224,447.1591715976331,467.72993630573234,501.53846153846155
31,Almenara,MG,475.50883233532966,496.65467625899254,488.02776978417256,516.776946107785,574.9640287769785
32,Almirante Tamandaré,PR,491.3053191489362,529.3636182902585,505.2359840954273,530.7687234042555,585.1292246520875
33,Alpinópolis,MG,493.6235632183911,514.6908925318759,497.71693989071036,549.8580459770111,650.7832422586521
34,Alta Floresta,MT,479.18528138528114,501.5916093535075,483.5921595598352,516.2217893217896,609.353507565337
35,Alta Floresta D'Oeste,RO,479.5651041666666,500.26911764705886,479.37254901960785,506.91562500000003,593.9215686274509
36,Altamira,PA,464.75495495495494,489.2022136331696,465.62350667603613,490.9606231231223,568.9529163738581
37,Altinho,PE,468.1592592592592,497.0894878706197,479.81563342318054,512.7544159544158,580.5390835579515
38,Alto Alegre,RR,430.0235294117649,454.4067796610169,441.80169491525436,455.27254901960794,491.1864406779661
39,Alto Paraíso,RO,465.1716049382716,472.66629213483117,457.5404494382023,486.33827160493854,508.314606741573
40,Alto Santo,CE,445.130651340996,470.4404332129965,466.77039711191355,486.20613026819944,478.4115523465704
41,Alto do Rodrigues,RN,458.53130193905815,480.4361477572559,466.25356200527705,485.8038781163432,556.1477572559367
42,Altos,PI,460.03684647302947,477.70452708164896,462.5278092158448,487.5317842323647,592.6434923201293
43,Alvarães,AM,423.5261744966441,443.73614457831326,418.52650602409636,447.8738255033556,464.93975903614455
44,Alvinópolis,MG,488.5279999999998,522.4221276595747,501.42723404255315,542.145333333333,620.5106382978723
45,Alvorada,RS,485.8222983257228,520.832590529248,504.5481894150417,519.4484779299845,571.3788300835655
46,Alvorada D'Oeste,RO,458.7754838709677,483.56626506024105,462.2355421686745,484.46774193548407,577.2289156626506
47,Alvorada do Norte,GO,452.3834080717492,474.1805907172996,461.8776371308014,485.6901345291479,510.295358649789
48,Alvorada do Sul,PR,479.7278195488722,502.5135714285718,484.81964285714304,514.9161654135338,578.7857142857143
49,Além Paraíba,MG,501.47633451957256,528.6757731958762,514.4802405498285,557.5078291814955,659.7938144329897
50,Amambai,MS,472.39315403422944,492.45618221258155,482.8971800433838,509.69559902200467,538.6984815618222
51,Amapá,AP,439.35288461538454,463.4307692307694,424.89743589743597,454.97788461538465,541.1965811965812
52,Amarante,PI,448.5970270270279,469.1247340425527,445.1377659574471,468.20270270270237,560.4255319148937
53,Amarante do Maranhão,MA,458.9889204545461,471.87698630136987,451.14109589041095,483.4187500000005,570.7397260273973
54,Amargosa,BA,471.53550165380375,493.9038144329896,477.08247422680404,496.68125689084985,584.4742268041238
55,Americana,SP,525.8362318840567,556.3018606663792,537.3064906966698,590.8225090579712,661.964517524881
56,Amontada,CE,439.6223841059601,454.65101796407185,447.6390419161678,478.5652980132456,466.22754491017963
57,Amparo,SP,524.876538461539,550.3619283065516,535.8582200247223,584.2616666666664,655.0556242274413
58,Ampére,PR,477.36408163265355,515.732307692308,496.38346153846146,525.602857142857,585.5384615384615
59,Amélia Rodrigues,BA,466.82356495468287,490.2622478386162,481.68126801152727,494.0824773413898,585.1873198847262
60,Anagé,BA,455.0960396039605,479.33279742765285,453.18681672025747,483.26600660066,571.3183279742765
61,Anajatuba,MA,458.2503597122302,478.6958333333332,455.5138888888891,485.4316546762591,632.3611111111111
62,Anajás,PA,439.2025157232705,457.76871508379884,440.9407821229048,461.15534591194995,498.99441340782124
63,Anamã,AM,431.6027272727276,449.3525179856115,437.6517985611512,464.24090909090916,438.9928057553957
64,Ananindeua,PA,476.5112731084431,505.41710222222457,483.96160000000083,500.5179245283024,594.8711111111111
65,Ananás,TO,453.32569832402254,467.8484374999999,458.1859375000003,481.9435754189938,552.2916666666666
66,Anastácio,MS,454.7042424242424,485.77159090909095,458.26931818181833,479.319393939394,544.4318181818181
67,Anchieta,ES,500.93187588152335,525.4139442231082,509.19243027888496,542.8919605077575,626.6135458167331
68,Andradas,MG,506.3702623906703,532.1361111111105,515.8891666666665,558.8297376093298,662.1111111111111
69,Andradina,SP,495.17691154422727,518.3992927864216,507.27538896746853,548.2680659670156,610.3536067892503
70,Andrelândia,MG,481.65170068027214,507.2825806451612,491.2277419354838,522.4993197278907,604.3010752688172
71,Angicos,RN,462.2633333333335,481.76984572229986,464.5737727910244,493.816376811594,570.7994389901824
72,Angra dos Reis,RJ,492.26192468619274,523.259692307692,505.89269230769213,534.4931380753143,605.4461538461538
73,Anori,AM,442.3495867768594,448.23984962406024,438.1849624060148,456.332231404959,511.8796992481203
74,Anápolis,GO,497.73788775327364,526.5276410513987,508.3326636531028,542.2525372063836,649.6099112673699
75,Aparecida,SP,497.6115511551152,533.9919003115266,521.8115264797507,557.8066006600658,607.1651090342679
76,Aparecida de Goiânia,GO,479.24999079698085,510.57627410468206,493.03648415977995,513.1125161052823,603.853305785124
77,Aparecida do Taboado,MS,489.17530864197533,507.0790697674418,499.95523255813947,536.8925925925929,634.4186046511628
78,Apiaí,SP,480.11389961389955,517.5400735294118,510.0367647058824,521.6316602316602,589.5588235294117
79,Apodi,RN,481.79876160990716,498.86960396039626,484.4093069306929,518.290608875129,629.1881188118812
80,Apucarana,PR,496.4949685534586,525.4468874172182,509.66231788079466,544.1605870020961,587.9072847682119
81,Apuí,AM,454.3329411764706,476.1956989247315,453.0645161290322,491.10588235294136,478.9247311827957
82,Aquidauana,MS,464.41821428571455,481.0792144026181,462.59247135842907,489.9083928571425,550.8674304418985
83,Aquiraz,CE,468.19114391144007,493.91396449704155,486.654792899408,503.6516605166051,588.4260355029586
84,Aracaju,SE,501.16505000326697,526.6109790992788,508.0967778054224,541.5531080462778,647.1336153271958
85,Aracati,CE,463.9082172701952,488.73021534320384,478.87597577388874,504.90215877437345,554.8452220726783
86,Araci,BA,470.1770773638967,485.8285333333332,469.53573333333355,491.8386819484237,607.4133333333333
87,Aracoiaba,CE,451.94013157894705,470.4718995290428,465.5755102040816,487.2222039473686,547.2841444270016
88,Aracruz,ES,506.20255924170567,529.1735422106169,509.81279373368085,556.8922274881515,627.8328981723238
89,Aragarças,GO,465.374273858921,486.0358267716538,473.7259842519686,498.5721991701246,553.9370078740158
90,Araguanã,TO,449.40156250000007,452.92857142857156,438.75714285714304,464.5046875000001,508.85714285714283
91,Araguari,MG,508.7831762146479,538.6982167352538,520.8898491083685,556.8525743292237,646.3648834019205
92,Araguatins,TO,455.35957446808476,473.0978405315615,459.74186046511625,480.6535460992905,566.1129568106312
93,Araguaína,TO,477.9103688643613,496.6656573922532,480.7304146208393,511.3670345628808,610.4909983633388
94,Araioses,MA,460.35639534883717,484.8305555555556,460.8627777777777,475.70581395348836,563.2222222222222
95,Arame,MA,443.6056338028168,455.0607142857147,437.47232142857126,469.10140845070396,523.8392857142857
96,Arapiraca,AL,483.974376098417,510.5617331545413,491.1844787127054,529.294077328646,627.0398927254441
97,Arapoema,TO,448.0804597701149,466.2736263736263,448.20989010989,486.9241379310344,527.2527472527472
98,Arapongas,PR,488.70772769089285,520.7161400512388,506.524338172503,536.0304507819682,586.0119555935098
99,Arapoti,PR,503.1123376623374,524.5302469135802,514.5635802469136,544.6376623376623,565.5555555555555
100,Araputanga,MT,455.2490825688076,483.21168831168853,471.34545454545434,501.55137614678915,595.0649350649351
101,Araranguá,SC,506.36214859437763,525.4154275092934,509.39219330854996,548.60873493976,619.9814126394052
102,Araraquara,SP,519.0610070257613,550.3614417744927,532.6643253234753,572.9155737704923,654.3438077634011
103,Araras,SP,530.2464167585443,553.0939708939704,533.5428274428275,589.8214994487319,651.4345114345115
104,Arari,MA,458.9201977401125,478.61058344640514,470.4864314789683,482.11186440678017,566.6214382632293
105,Araripe,CE,465.95512820512823,479.76186770427955,474.02412451361874,504.8709401709399,594.7081712062256
106,Araripina,PE,466.68608695652085,489.110374935799,472.65885978428446,512.623423913043,629.6250642013354
107,Araruama,RJ,499.1315698178671,525.1096877502,507.10336269015176,540.1803989592363,605.3803042433947
108,Araruna,PB,453.6039906103286,472.3619047619048,461.4628117913834,487.5953051643193,576.9160997732426
109,Aratuba,CE,449.87965517241383,473.1323529411766,463.4513071895425,486.7637931034483,513.2679738562091
110,Araucária,PR,495.0659130434787,529.6763843648217,511.6215798045598,537.1849565217391,598.6482084690554
111,Araxá,MG,515.9141156462586,542.484552845528,526.6139024390244,578.8532312925166,671.5121951219512
112,Araçatuba,SP,519.5692230576432,544.10990521327,528.4577251184842,581.7301754385979,642.7298578199052
113,Araçoiaba,PE,454.55893536121647,464.58036363636336,451.45200000000034,479.13346007604565,518.6181818181818
114,Araçoiaba da Serra,SP,508.9509174311928,532.6347457627116,518.5224576271186,557.2509174311928,611.0169491525423
115,Araçuaí,MG,482.4870032223418,508.6190279214063,490.17880041365,521.1106337271744,610.5894519131334
116,Arcos,MG,506.0993243243243,538.5743040685223,523.9522483940045,581.59054054054,665.6959314775161
117,Arcoverde,PE,476.23314977973575,506.8411185914037,492.1519937856035,526.939757709252,600.6732263076126
118,Areado,MG,494.429816513761,522.1529284164859,506.1180043383945,549.0263761467888,623.5140997830803
119,Areia,PB,467.8486899563319,487.7281779661018,470.04449152542367,495.583406113537,611.9067796610169
120,Areia Branca,RN,463.79342723004703,487.53494505494564,476.1890109890113,488.9241784037559,555.3846153846154
121,Areia Branca,SE,456.5465306122445,476.0272373540855,455.9665369649808,482.65877551020384,575.5642023346303
122,Arenápolis,MT,451.0045918367344,473.91428571428577,458.3400000000001,488.49489795918345,551.8095238095239
123,Arinos,MG,470.8828784119108,485.7943925233647,475.0453271028037,501.9434243176186,557.4299065420561
124,Aripuanã,MT,488.1712499999999,516.7384615384615,490.7054945054945,514.8537500000001,589.8901098901099
125,Ariquemes,RO,474.7683682771194,496.00115702479405,483.237024793388,513.06873290793,582.0661157024794
126,Aroeiras,PB,452.41506849315084,471.32177419354866,450.69516129032235,475.8643835616438,588.010752688172
127,Arraias,TO,442.48586572438165,463.69081632653035,443.8000000000003,460.6674911660776,526.8707482993198
128,Arroio Grande,RS,475.1227053140093,498.5788990825688,488.40366972477074,508.9555555555556,563.9449541284404
129,Arroio do Meio,RS,517.7014705882352,545.9187499999997,530.0208333333333,572.013970588235,649.5833333333334
130,Artur Nogueira,SP,499.51401673640135,534.8167664670655,517.5123752495011,546.2228033472809,609.1417165668663
131,Arujá,SP,498.5021560574952,540.4962318840585,520.445120772947,551.0045174537992,615.6521739130435
132,Assaré,CE,454.4051094890512,476.27336769759427,465.1341924398624,492.6936131386862,514.0549828178695
133,Assaí,PR,488.80124069478956,515.7646370023419,500.4419203747072,529.6898263027301,588.9929742388758
134,Assis,SP,506.68307453416054,540.1008046817853,525.6938551572777,566.9731366459629,644.4184345281639
135,Assis Chateaubriand,PR,493.4324701195223,509.4143646408839,501.92707182320447,541.4211155378483,599.2633517495395
136,Astorga,PR,485.784563758389,511.59968847352025,498.9676012461056,529.4899328859057,594.018691588785
137,Atalaia,AL,450.55985130111526,474.78373702422164,461.1166089965402,482.0557620817842,563.3910034602076
138,Atibaia,SP,519.6736233854543,550.9174757281553,533.2205825242726,580.1858599592111,645.9676375404531
139,Augustinópolis,TO,456.97522727272735,477.1137931034487,467.3601293103449,488.3349999999996,587.8879310344828
140,Augusto Corrêa,PA,446.5993730407523,471.97946428571424,445.18005952380935,462.87335423197493,571.9047619047619
141,Auriflama,SP,489.46535714285733,516.6767361111112,502.91597222222197,552.2425000000002,634.375
142,Aurora,CE,461.44114052953154,486.3272549019605,474.0741176470588,504.19735234215926,652.2352941176471
143,Aurora do Pará,PA,448.50283687943255,481.1693333333335,457.0033333333335,469.4730496453902,543.8666666666667
144,Autazes,AM,432.528971962617,443.14880952380946,429.4904761904763,448.99345794392497,476.031746031746
145,Avaré,SP,517.0955242966747,544.128864734299,531.0706521739128,578.2863171355502,639.3719806763285
146,Açailândia,MA,463.7717152103566,492.17646702964385,473.94107683000595,498.55611650485463,591.5547489413188
147,Açu,RN,476.5143279172824,498.81687943262364,480.04588652482244,506.95465288035433,609.6170212765958
148,Bacabal,MA,459.3336434867777,482.93891966759054,469.5623268698063,492.61816846229215,578.9843028624192
149,Bacuri,MA,442.407055214724,455.33430232558146,438.279941860465,465.9911042944787,542.9651162790698
150,Baependi,MG,495.01264822134385,520.2890566037736,508.4867924528305,549.2015810276675,658.1132075471698
151,Bagé,RS,487.56932241250905,516.3680083275495,505.01318528799413,525.8614296351442,573.1714087439278
152,Baixa Grande,BA,467.2785123966942,495.3097087378642,474.3757281553398,503.77582644628154,603.495145631068
153,Baixo Guandu,ES,498.19681528662426,525.0109144542769,503.46755162241897,547.3589171974526,616.7551622418879
154,Baião,PA,443.830221130221,467.0104895104901,438.6165501165504,461.4729729729732,582.6107226107226
155,Balneário Camboriú,SC,513.6652849740931,542.7872863978131,522.5444292549556,566.3943005181347,625.6049213943951
156,Balsas,MA,464.14924202822783,480.7645544554454,466.80782178217896,494.2547830632513,579.8613861386139
157,Bambuí,MG,506.85730027548254,537.2592000000001,516.9618666666668,554.3024793388427,652.4266666666666
158,Banabuiú,CE,457.4605769230769,481.6771689497714,474.75342465753437,494.1918269230772,538.2648401826484
159,Bananeiras,PB,462.55427841634724,482.74643734643655,466.22493857493845,492.5218390804594,605.9459459459459
160,Bandeirantes,PR,474.7765472312706,494.4521472392636,488.425766871166,517.7998371335507,572.8220858895705
161,Baraúna,RN,462.2962264150941,483.76958762886613,471.0515463917525,494.1086253369272,633.659793814433
162,Barbacena,MG,512.3575194949877,543.6125832457061,522.386750788643,571.9919049387308,645.0192779530319
163,Barbalha,CE,494.1794295592055,514.3070074196221,497.0814509480627,529.8313742437339,637.3124484748557
164,Barcarena,PA,468.42439287641645,493.51301474326436,470.4311133706155,488.1002698327039,577.2953736654804
165,Barcelos,AM,448.7563492063492,479.6800000000002,454.6355555555556,466.2388888888888,531.7037037037037
166,Barra,BA,452.7152136752132,471.8240924092411,457.6881188118813,476.0852991452991,568.1518151815181
167,Barra Bonita,SP,507.2235655737704,536.2533596837944,527.2934782608698,558.6311475409838,628.695652173913
168,Barra Mansa,RJ,495.8982014388494,527.424375422012,513.3259959486833,547.2419424460433,676.8939905469277
169,Barra da Estiva,BA,470.0315723270437,493.67833935017984,474.6146811070998,508.45534591194996,597.496991576414
170,Barra de Guabiraba,PE,455.44697986577165,474.7019867549671,460.59205298013234,491.6261744966443,629.0066225165563
171,Barra de São Francisco,ES,478.013752455796,501.46416510318966,485.50093808630385,521.2622789783892,589.9437148217636
172,Barra do Bugres,MT,466.607070707071,488.37178683385554,472.7244514106585,500.6969696969698,566.9592476489029
173,Barra do Choça,BA,463.40416666666675,489.56242424242515,471.97909090909104,498.1628205128206,589.4545454545455
174,Barra do Corda,MA,460.53187347931964,485.12821100917444,468.86112385321115,492.61277372262776,573.440366972477
175,Barra do Garças,MT,480.2267206477727,507.1615267175565,489.4304580152671,513.4017813765178,578.3511450381679
176,Barra do Piraí,RJ,503.58621794871794,535.7515625000001,520.2560937499998,551.5634615384623,673.53125
177,Barra do Turvo,SP,471.2833333333333,489.62307692307684,503.2461538461538,491.0458333333333,579.2307692307693
178,Barras,PI,450.6259313367426,472.58332145402676,455.3133285816111,478.3021913805704,586.6286528866714
179,Barreira,CE,465.97235494880596,483.88031250000006,478.68093749999997,505.41877133105817,557.25
180,Barreiras,BA,485.8977525314886,505.0936873980902,487.0581644537628,517.589528278588,633.8411367342185
181,Barreirinha,AM,438.92890855457216,455.56041131105405,433.4966580976862,446.8592920353979,482.10796915167094
182,Barreirinhas,MA,452.0413385826771,472.03302919708057,454.1700729927007,481.162401574803,546.0583941605839
183,Barreiros,PE,460.2102905569005,474.41136890951293,472.97633410672864,496.73571428571415,591.0672853828306
184,Barretos,SP,505.74786392405065,525.5686142322089,511.42674157303315,553.142879746836,622.0973782771536
185,Barrinha,SP,484.1855140186915,518.3260089686099,503.5228699551569,530.538785046729,592.8251121076233
186,Barro,CE,469.90973871733996,497.1931350114417,480.56544622425645,517.1463182897862,630.2059496567506
187,Barroquinha,CE,448.40168918918937,482.62295081967216,465.9472131147539,487.5155405405405,534.8196721311475
188,Barueri,SP,502.2339314408141,539.5717545638942,524.1769016227178,556.5226031065874,614.4269776876267
189,Barão de Cocais,MG,506.50252365930606,532.0904907975463,516.8447852760737,565.7690851735017,645.2760736196319
190,Barão de Grajaú,MA,455.5368263473058,471.46598240469234,455.94164222873866,481.1488023952094,571.9061583577712
191,Bataguassu,MS,461.07460937500025,484.11950354609957,470.2989361702128,503.14296875,534.9645390070922
192,Batalha,AL,459.2814663951119,474.4085436893197,456.15553398058233,491.0303462321793,585.2815533980582
193,Batalha,PI,458.3126353790612,478.3795053003535,462.3045936395759,488.8400722021659,584.0989399293286
194,Batatais,SP,508.82730720606787,535.7846338535419,519.4548619447773,564.1164348925414,645.6902761104442
195,Baturité,CE,456.6265945945941,481.70845511482236,472.49384133611716,491.2098378378377,574.3423799582464
196,Bauru,SP,522.4550861589777,551.541824894514,533.5182753164563,582.7248749305173,642.2310126582279
197,Bayeux,PB,467.21463815789485,489.7921296296305,478.45169753086503,497.1206414473683,590.570987654321
198,Bebedouro,SP,519.2026548672563,540.1478214665249,527.4953241232727,577.9253318584076,655.6641870350691
199,Beberibe,CE,454.59630573248444,485.82972292191516,477.99231738035303,490.0830573248407,547.808564231738
200,Bela Cruz,CE,468.3544412607445,476.7432000000001,478.18319999999994,504.47736389684815,532.6933333333334
201,Bela Vista,MS,471.3176470588234,495.2315000000001,474.349,505.3256684491981,554.6
202,Belford Roxo,RJ,472.87451678535103,502.19387850467297,488.25668224299125,500.24618514750745,575.3177570093458
203,Belo Horizonte,MG,531.527110495432,567.95541565612,543.1707647453417,592.6251629726189,669.8967955002838
204,Belo Jardim,PE,472.02461257976313,494.7177660510116,486.2342128408093,515.1919781221512,627.4406332453826
205,Belo Oriente,MG,486.51258278145673,509.4929936305733,497.57515923566865,535.4483443708605,648.4076433121019
206,Belém,PA,482.8985298742146,513.5367564907133,490.4304023624941,511.4701231656224,616.9494278331488
207,Belém do São Francisco,PE,448.91610486891364,469.9176470588237,459.0436720142601,481.2767790262174,564.5632798573976
208,Benevides,PA,465.83262119967196,491.1392633228845,468.0844827586214,483.077074774034,591.1755485893417
209,Benjamin Constant,AM,422.0059999999999,432.37566462167655,410.1421267893662,437.50333333333384,418.0368098159509
210,Bento Gonçalves,RS,520.3214963119073,553.6216269841262,530.3256944444437,578.3067439409906,645.4960317460317
211,Bequimão,MA,453.70439560439576,469.4497297297299,449.4345945945946,475.4818681318681,555.6756756756756
212,Bertioga,SP,486.63631123919305,511.4008130081304,505.189972899729,525.1170028818445,574.2547425474255
213,Beruri,AM,436.201923076923,450.8247706422017,433.3000000000002,460.7298076923074,499.6330275229358
214,Betim,MG,501.2941599778582,536.3564668769704,517.9208201892745,548.9966509825621,622.707676130389
215,Bezerros,PE,477.00878316559977,497.18481675392763,487.86212914485134,514.126715462032,604.328097731239
216,Biguaçu,SC,502.98182957393493,530.0343057176193,508.2120186697787,550.1522556390984,600.7934655775963
217,Birigui,SP,508.50665417057155,539.2904035874436,525.6899551569509,570.3683223992502,625.3811659192825
218,Blumenau,SC,514.4695522388078,542.0703806502801,522.7160190325127,565.7294669509595,625.3528945281522
219,Boa Esperança,MG,491.266061293984,512.1317736670288,498.75734494015234,542.5427922814979,624.0043525571273
220,Boa Viagem,CE,453.3745967741939,475.32936802974007,466.1147459727373,492.80537634408637,515.2664188351921
221,Boa Vista,RR,487.41817572099285,510.4189876033059,494.5698760330572,513.8202772188682,576.1115702479339
222,Boa Vista do Ramos,AM,430.60351758793973,442.1865470852017,427.1134529147983,444.68040201005016,457.4887892376682
223,Boca da Mata,AL,461.18687089715513,480.11012658227827,466.2936708860758,498.60940919037205,597.4261603375527
224,Boca do Acre,AM,453.5759036144577,470.9781481481479,468.4529629629635,483.46546184738924,540.0
225,Bocaiúva,MG,485.4085946573759,509.0432584269659,496.76550561797717,524.8023228803717,625.7752808988764
226,Bodoquena,MS,459.92307692307685,487.60985915492984,472.32535211267606,486.56615384615367,552.9577464788732
227,Boituva,SP,511.3802150537637,544.8823886639678,530.4133603238865,578.1619354838717,624.251012145749
228,Bom Conselho,PE,464.56977058029753,487.6565840938727,476.98057366362457,506.2260458839407,593.2724902216428
229,Bom Despacho,MG,522.027042801556,553.0082089552244,535.1925373134329,583.4289883268485,677.723880597015
230,Bom Jardim,MA,454.35944444444436,468.9516971279373,458.26057441253243,481.25361111111107,546.3707571801566
231,Bom Jardim,PE,478.33780290791594,498.6488958990534,485.9123028391166,515.7723747980615,640.788643533123
232,Bom Jesus,PI,453.37879432624095,464.60280054644807,450.481557377049,481.10865248226924,558.879781420765
233,Bom Jesus da Lapa,BA,473.93433799784697,493.6471794871791,476.0964102564103,507.6794402583419,599.876923076923
234,Bom Jesus de Goiás,GO,482.17623318385654,502.6910569105687,489.8085365853659,521.1816143497755,568.8617886178862
235,Bom Jesus do Itabapoana,RJ,495.8838759689924,515.416029411765,502.324852941177,540.3260465116279,619.4411764705883
236,Bom Sucesso,MG,484.5869333333335,512.1979274611398,494.084196891191,529.4157333333333,633.4715025906736
237,Bonfim,RR,444.14285714285705,457.3565217391304,434.2173913043479,476.47142857142853,544.3478260869565
238,Bonito,MS,487.4822429906542,496.7226890756303,493.0680672268907,512.5710280373831,591.9327731092437
239,Bonito,PE,457.5876,486.42806026365287,476.8325800376646,497.7827999999996,581.3559322033898
240,Boqueirão,PB,472.160649087221,497.62161100196477,478.61119842829083,504.0480730223127,603.7721021611002
241,Boquim,SE,467.5778592375363,484.39999999999986,470.05793871866325,502.50190615835817,628.6072423398329
242,Boquira,BA,462.5909090909092,478.05017543859657,459.3305263157895,491.97309090909096,618.7368421052631
243,Borba,AM,422.77045454545464,442.14199999999994,425.5993333333334,452.74621212121224,477.3333333333333
244,Botucatu,SP,528.1354838709688,552.8468956406886,532.6908190224569,584.2321879382879,641.6380449141348
245,Bragança,PA,457.86593137254977,480.892451945617,456.6428504453812,480.2701960784304,588.3919362400375
246,Bragança Paulista,SP,516.454394141145,546.1044908285895,529.3416824794432,578.5071904127828,656.1669829222011
247,Brasilândia de Minas,MG,469.1246323529411,482.651903114187,472.67820069204134,494.0077205882351,560.8996539792388
248,Brasiléia,AC,471.5792452830187,497.159829059829,493.42136752136753,500.27264150943444,574.7008547008547
249,Brasnorte,MT,485.04193548387076,494.9608695652172,477.79855072463755,506.2806451612904,596.8115942028985
250,Brasília,DF,508.6532927369373,539.6153480979551,522.6974632452857,552.1859366696177,622.0754125101951
251,Brasília de Minas,MG,475.878148710167,506.0592907801421,491.8868085106385,516.7291350531104,588.3971631205674
252,Braço do Norte,SC,493.2671487603306,520.0136633663365,495.71881188118806,536.129752066116,616.3168316831683
253,Brejetuba,ES,481.0757009345794,504.64912280701776,486.6149122807015,515.4962616822428,605.438596491228
254,Brejinho de Nazaré,TO,445.33235294117645,451.87179487179486,441.35128205128206,464.65882352941173,536.4102564102565
255,Brejo,MA,446.3383928571428,465.40556745182045,446.4432548179878,462.80825892857126,554.3040685224839
256,Brejo Santo,CE,475.46671388101936,494.99085365853585,479.21395663956645,517.0286118980175,609.8238482384824
257,Brejo da Madre de Deus,PE,458.4403726708072,483.6348214285721,475.5857142857142,501.5369565217392,587.1428571428571
258,Brejões,BA,456.2485380116961,484.9620879120877,464.0373626373625,481.5239766081872,570.3296703296703
259,Breu Branco,PA,446.066077738516,464.46677852348984,445.25302013422805,453.6141342756185,524.6979865771812
260,Breves,PA,447.42049306625495,472.38528428093593,448.7749163879597,467.30868002054433,553.7792642140469
261,Brotas de Macaúbas,BA,464.478431372549,487.7706586826347,471.3467065868265,498.9202614379085,592.2155688622754
262,Brumadinho,MG,501.44646643109604,537.0790459965929,518.6971039182289,552.2703180212018,638.7734241908007
263,Brumado,BA,485.52291169451115,510.3667172100079,490.5821834723273,528.3204455051705,621.0310841546626
264,Brusque,SC,510.1508016032068,539.7106787330322,515.8817194570134,563.4554108216439,616.8325791855203
265,Buerarema,BA,463.1435406698565,491.25515695067264,468.09192825112115,482.8411483253588,578.9237668161435
266,Bujaru,PA,450.327368421053,464.62106598984724,443.593654822335,469.09052631578976,546.4974619289341
267,Buriti Bravo,MA,445.3614492753627,456.3963483146065,446.27921348314607,468.5881159420287,557.8089887640449
268,Buriti dos Lopes,PI,452.74531249999984,470.0123364485981,450.70205607476635,470.3724609374997,548.1495327102804
269,Buriticupu,MA,455.6347386172007,465.94255999999984,453.17311999999964,481.3089376053964,525.44
270,Buritis,MG,468.4251700680273,494.6583061889251,479.36091205211744,508.62346938775556,581.8241042345277
