,NO_MUNICIPIO_PROVA,SG_UF_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
572,Ferraz de Vasconcelos,SP,481.8341700404858,519.4469742813918,507.89167927382795,523.893927125505,593.4190620272315
573,Floresta,PE,455.15519801980236,470.12298980747426,460.6543601359001,483.9538366336631,569.445073612684
574,Floresta do Araguaia,PA,440.4503703703704,462.53500000000014,441.7864285714286,473.1637037037037,560.1428571428571
575,Floriano,PI,464.35918510713003,485.0317627118629,466.6075932203382,496.2539866526177,589.0508474576271
576,Florianópolis,SC,533.5956515620608,565.752230483271,540.9575411577256,588.748986771743,641.3489113117366
577,Fonte Boa,AM,429.8592391304347,444.07213114754114,419.0185792349727,444.09619565217423,484.91803278688525
578,Formiga,MG,516.7632416787259,548.7117486338798,527.9616120218569,586.6665701881334,694.5901639344262
579,Formosa,GO,478.29599780701705,504.0811957077154,489.9629024016357,511.1112390350873,571.0066428206438
580,Formosa da Serra Negra,MA,449.5751807228914,461.7090487238977,440.09605568445505,475.76072289156616,554.524361948956
581,Formosa do Rio Preto,BA,454.7994680851065,469.05792079207947,450.31113861386126,473.57074468085125,551.6831683168317
582,Formoso do Araguaia,TO,456.4849246231156,468.00379146919437,464.4744075829385,489.4798994974875,566.824644549763
583,Forquilha,CE,462.03533333333365,482.883089770355,481.2519832985382,512.3406666666666,564.3423799582464
584,Fortaleza,CE,499.20854661592125,532.5608259831861,512.261681021064,551.0982084262994,628.4034450555152
585,Foz do Iguaçu,PR,505.5244830827054,531.9236043956059,515.3660439560426,548.457894736843,598.9538461538461
586,Fraiburgo,SC,495.7667832167835,530.6092105263158,509.7973684210527,548.1031468531467,602.6973684210526
587,Franca,SP,511.8802825552821,541.1636603221074,526.3787994143474,572.0936425061439,665.8155197657394
588,Francisco Beltrão,PR,501.3403551745257,530.1283180778034,507.9934210526312,546.4600734843848,600.9839816933638
589,Francisco Morato,SP,480.8251748251745,520.8360566448797,505.20969498910694,519.062121212121,571.2636165577342
590,Francisco Sá,MG,468.02882352941145,485.2634560906519,472.93796033994346,503.5079411764708,628.1019830028329
591,Franco da Rocha,SP,485.22355828220833,526.9049255441007,513.7343642611687,522.4653987730059,584.7651775486827
592,Frederico Westphalen,RS,487.49833465503553,513.3050911854114,493.45782674771976,527.5298176050745,625.0455927051672
593,Frutal,MG,478.58449612403103,506.160144927536,487.18454106280143,520.9572351421183,580.2657004830918
594,Fátima do Sul,MS,476.20477941176466,500.1649305555554,480.9677083333336,503.2775735294114,571.875
595,Gandu,BA,458.15131578947364,481.96369796708586,469.54898354307863,488.9482793522263,592.1006776379477
596,Garanhuns,PE,481.6565746136299,508.8526925863327,494.0505916445291,520.6812009120844,601.5889881671094
597,Gararu,SE,454.93462783171515,467.3572755417957,454.1965944272445,475.252427184466,542.2910216718266
598,Garibaldi,RS,505.3858585858586,532.2761904761908,514.775555555556,570.0936026936024,662.984126984127
